Year_Day	Air_Temp
1	4.96
2	-1.79
3	-5.62
4	-3.83
5	0.5
6	5.67
7	4.54
8	0.96
9	1
10	2.33
11	1.58
12	3.46
13	-6.04
14	-6.5
15	-6.04
16	-1.17
17	8.54
18	-2.88
19	-4.08
20	-11.54
21	-6.79
22	-4.88
23	6.46
24	0.96
25	-0.67
26	0.21
27	1.96
28	0.87
29	-0.29
30	-1.67
31	8.21
32	8.71
33	4.04
34	1.62
35	2.04
36	0.79
37	1.71
38	1.29
39	-1.25
40	-2.08
41	-1.54
42	-6.64
43	NaN
44	0.25
45	-0.33
46	1.83
47	4.67
48	2.5
49	2.33
50	-1.79
51	-2.38
52	1.35
53	4.38
54	2.42
55	2.38
56	-0.38
57	-0.5
58	3.46
59	0.5
60	5.08
61	5.5
62	3.88
63	3.54
64	-0.08
65	-2.29
66	2.75
67	12.83
68	12.21
69	1.71
70	0.79
71	8.17
72	12.08
73	15.17
74	13.83
75	18.54
76	17.67
77	17.79
78	17.21
79	17.71
80	20.71
81	20.33
82	19.42
83	15.25
84	13.17
85	13.79
86	7.29
87	4.79
88	16.12
89	7.25
90	4.83
91	4.54
92	8.5
93	7.67
94	8.5
95	11.38
96	6.29
97	6.71
98	8.67
99	12.12
100	10.92
101	5.67
102	5.9
103	7.29
104	9.5
105	11.25
106	18.75
107	19.29
108	10.17
109	11.5
110	16.42
111	18.79
112	7.17
113	6.46
114	9.25
115	10.25
116	11.92
117	11.62
118	6.92
119	6.26
120	8.25
121	12.5
122	14.46
123	18.92
124	24.42
125	21.83
126	15.79
127	14.29
128	15.08
129	17.96
130	14.79
131	12.58
132	14.96
133	18
134	17
135	17.17
136	19.42
137	17.92
138	13.12
139	15.58
140	20.04
141	23.17
142	22.04
143	17.83
144	18
145	22.79
146	27.12
147	23.17
148	23.25
149	27.38
150	25.96
151	20.54
152	16.54
153	14.62
154	15.67
155	20.21
156	18.67
157	16.33
158	17.79
159	21.12
160	22.71
161	24.92
162	26.21
163	23.33
164	24.29
165	17.75
166	18.83
167	21.83
168	25.58
169	25.38
170	22.67
171	27.83
172	28.33
173	28
174	23.33
175	22.62
176	24.5
177	22.25
178	20.13
179	23.58
180	28.29
181	28.67
182	24.88
183	26.33
184	25.21
185	28.26
186	29.29
187	27.39
188	29.08
189	31.88
190	25.75
191	23.96
192	23.83
193	23.88
194	24.29
195	25.92
196	23.96
197	27.54
198	28.54
199	30.79
200	28.54
201	24.62
202	21.83
203	22.54
204	26.12
205	28.29
206	27.71
207	23.83
208	28.12
209	24.79
210	22.04
211	23.88
212	24.75
213	25.33
214	25.33
215	24.75
216	27
217	27.04
218	25.21
219	22.04
220	22.79
221	24.83
222	22.21
223	18.46
224	17.67
225	20.67
226	20.96
227	20.83
228	20.46
229	22.04
230	21.29
231	18.5
232	18.88
233	18.46
234	18.92
235	20.33
236	21.38
237	22.96
238	24.62
239	24.62
240	23.25
241	22.79
242	21.17
243	20.42
244	23.54
245	24.08
246	22.83
247	24.5
248	23.79
249	21.9
250	23.29
251	21.5
252	18.79
253	16.71
254	17.12
255	17.71
256	19.46
257	21.62
258	17.71
259	15.62
260	16.08
261	17.79
262	17.29
263	11.33
264	15
265	15.17
266	11.79
267	9.83
268	9.83
269	13.48
270	17.75
271	15.83
272	13.67
273	14.21
274	14.38
275	12.04
276	15.21
277	17
278	17.71
279	14.79
280	7.61
281	7.67
282	7.38
283	8.38
284	9.38
285	7.12
286	8.92
287	7.83
288	19.33
289	12.54
290	10.62
291	15.75
292	15.21
293	10.12
294	9.21
295	10.58
296	13.5
297	17.67
298	19.5
299	19.25
300	12.83
301	8.75
302	7.08
303	5.58
304	4.04
305	4.17
306	6.5
307	4.67
308	4.21
309	2.88
310	1.88
311	0.96
312	3.17
313	2.96
314	4.5
315	12.29
316	15.5
317	10.67
318	1.62
319	0.54
320	3.04
321	2.58
322	3.46
323	4.71
324	3.04
325	6.79
326	7.46
327	7.96
328	7.29
329	0.67
330	0.62
331	0.62
332	-0.38
333	-0.48
334	1.29
335	5
336	8.12
337	12.96
338	13.67
339	13.5
340	2.62
341	-0.67
342	4.92
343	5.62
344	3.58
345	5.29
346	0.62
347	-0.25
348	-0.17
349	2.08
350	3.25
351	10.5
352	6.75
353	3.5
354	3.54
355	5.08
356	1.67
357	0.88
358	-2.25
359	-0.83
360	-0.75
361	-0.25
362	-2.21
363	-6
364	-1.62
365	-4.42
366	-2.62
