Year_Day	Wind_Speed
1	3.48
2	3.11
3	4.01
4	7.28
5	4.28
6	5.69
7	3.98
8	3.28
9	5.68
10	2.15
11	4.55
12	4.47
13	3.23
14	4.72
15	1.52
16	2.9
17	4.88
18	5.15
19	8.38
20	9.71
21	6.69
22	5.4
23	3.57
24	3.18
25	2.61
26	3.8
27	2.01
28	5.47
29	4.45
30	7.54
31	10.91
32	7.89
33	5.2
34	3.47
35	3.25
36	2.01
37	2.73
38	2.62
39	5.4
40	2.3
41	2.92
42	9.66
43	6.39
44	2.36
45	5.4
46	4.77
47	3.28
48	4.5
49	5.41
50	9.8
51	7.31
52	4.15
53	4.37
54	5.23
55	4.88
56	1.51
57	5.98
58	5.21
59	5.31
60	4.25
61	4.17
62	4.31
63	1.66
64	4.57
65	5.45
66	3.2
67	1.73
68	2.42
69	4.5
70	7.72
71	7.2
72	7.16
73	4.5
74	3.77
75	3.88
76	4.08
77	4.75
78	9.78
79	6.06
80	5.93
81	5.69
82	2.27
83	4.86
84	5.59
85	4.27
86	5.76
87	4.77
88	2.85
89	2.65
90	4.47
91	7.01
92	5.31
93	3.65
94	2.73
95	2.92
96	4.92
97	8.4
98	5.17
99	3.19
100	3.87
101	6.9
102	5.94
103	6.52
104	2.77
105	4.44
106	3.65
107	5.12
108	7.82
109	8.58
110	7.54
111	3.08
112	3
113	4.33
114	5.68
115	5.3
116	2.23
117	2.48
118	2.78
119	2.67
120	4.6
121	3.29
122	3.67
123	3.95
124	4.65
125	4.15
126	3.3
127	2.84
128	1.74
129	1.17
130	4.84
131	4.93
132	7
133	3.56
134	4.76
135	6.07
136	2.32
137	4.88
138	3.71
139	2.42
140	4.15
141	6.05
142	5.08
143	4.94
144	4.71
145	0.8
146	1.55
147	2.94
148	4.38
149	6.62
150	4.33
151	5.25
152	4.99
153	5.16
154	3.24
155	1.91
156	3.27
157	4.14
158	2.41
159	1.38
160	3.44
161	2.22
162	4.07
163	2.1
164	4.54
165	2.88
166	2.61
167	4.88
168	2.63
169	3.86
170	3.15
171	2.19
172	3.05
173	4.28
174	4.42
175	4.2
176	5.02
177	3.13
178	1.88
179	2.91
180	1.7
181	3.79
182	4.17
183	4.15
184	2.48
185	2.69
186	1.76
187	1.9
188	3.79
189	3.45
190	3.2
191	4.29
192	2.85
193	2.53
194	3.11
195	2.36
196	1.43
197	1.74
198	2.57
199	2.62
200	5.53
201	4.7
202	2.46
203	1.56
204	3.57
205	4.25
206	1.79
207	1.42
208	3.88
209	4.57
210	3.52
211	1.05
212	3.13
213	3.74
214	3.23
215	2.92
216	2.67
217	1.55
218	3.14
219	2.5
220	2.7
221	2.19
222	1.97
223	1.02
224	1.85
225	4.1
226	3.57
227	NaN
228	2.25
229	1.73
230	1.2
231	1.41
232	1.99
233	2.92
234	3.25
235	2.43
236	1.68
237	2.85
238	4.55
239	3.66
240	2.69
241	1.29
242	2.34
243	2.77
244	2.16
245	3.52
246	3.99
247	2.92
248	2.86
249	1.01
250	2.6
251	3.12
252	1.61
253	4.35
254	4.26
255	3.54
256	4.55
257	1.28
258	2.42
259	2.2
260	2.3
261	1.22
262	3.07
263	4.51
264	4.31
265	2.84
266	1.82
267	1.7
268	1.79
269	2.64
270	2.34
271	1.8
272	3.24
273	2.24
274	3.3
275	2.33
276	2.45
277	3.23
278	2.41
279	4.68
280	5.19
281	1.1
282	2.52
283	1.35
284	1.82
285	1.12
286	2.73
287	2.71
288	2.1
289	4.87
290	2.92
291	4.55
292	3.47
293	4.92
294	6.18
295	4.62
296	3.53
297	3.88
298	3.97
299	7.44
300	2.3
301	1.92
302	2.41
303	1.56
304	6.72
305	7.53
306	3.91
307	2.47
308	3.5
309	3.09
310	6.43
311	6.09
312	3.92
313	6.1
314	6.12
315	5.03
316	5.52
317	4.8
318	7.63
319	4.77
320	4.59
321	8.74
322	9.03
323	4.43
324	3.03
325	3.38
326	4.08
327	4.98
328	5.48
329	5.47
330	4.01
331	7.01
332	3.37
333	1.03
334	3.59
335	3.08
336	1.86
337	2.24
338	2.78
339	7.47
340	4.06
341	3.58
342	3.02
343	5.98
344	6.69
345	5.19
346	4.72
347	3.64
348	4.18
349	6.2
350	2.48
351	3.89
352	4.99
353	4.63
354	3.8
355	4.2
356	6.35
357	5.4
358	6.01
359	4.14
360	5.38
361	3.68
362	5.67
363	4.94
364	4.12
365	6.05
