Year_Day,2012,2013,2014,2015,2016,2017,2018
1,3.21,1.9,0,1.31,3.26,1.01,0
2,2.91,1.35,0,1.15,3.24,0.92,0
3,2.52,0.57,0,0.89,3.15,0.68,0
4,2.19,0.43,0,1.38,2.87,0.56,0
5,2.13,0.3,0,1.29,2.46,0.38,0
6,2.09,0.32,0.06,0.76,2.31,0.07,0
7,1.95,0.3,0,0,2.18,0,0
8,1.57,0.39,0,0,2.28,0,0
9,2.24,0.83,0,0,2.44,0,0
10,2.34,1.01,0,0,2.46,0,0
11,2.35,1.1,0,0,2.27,0,0
12,2.33,0.99,0,0,1.6,0,0.08
13,2.29,0.94,0.18,0,1.21,0.46,0
14,2.24,0.94,0.19,0,0.82,0.17,0
15,2.14,0.91,0.09,0,0.85,0.95,0
16,1.64,1.1,0.08,0,0.96,0,0
17,1.74,1.16,0.07,0,0.39,0,0
18,1.63,1.21,0.06,0,0.16,0.09,0
19,1.8,1.19,0,0,0,0.09,0
20,1.47,1.13,0,0,0,0.68,0
21,0.09,1.11,0,0,0,0.61,0
22,0.23,0.03,0,0,0,0.75,0
23,0.17,0,0,0,0,0.68,0
24,0.08,0,0,0,0,0.55,0
25,0.07,0,0,0.11,0,0.57,0
26,0,0,0,0.13,0,0.54,0.21
27,0.17,0,0,0,0,0.58,0.25
28,0.15,0,0,0,0.43,0.66,0.32
29,0.35,0.11,0,0,0.04,0.69,0.13
30,0.84,0.23,0,0,0.03,0.55,0
31,0.42,0.2,0,0,0.79,0.64,0
32,0.35,0.4,0,0,1.16,0.73,0.42
33,1.15,0.43,0,0,1.3,0.75,0.32
34,1.12,0.09,0,0,1.34,0.56,0.37
35,1.17,0.03,0,0,1.33,0.27,0
36,1.24,0,0,0,1.24,0.55,0
37,1.54,0,0,0,1.18,0.32,0
38,1.61,0,0,0,1.2,0,0
39,1.45,0,0,0,1.25,0,0
40,1.31,0,0,0,1.27,0.67,0
41,1.25,0,0,0,1.31,0.78,0
42,1.06,0,0,0,1.2,0.83,0.01
43,0.94,0,0,0,1.22,0.73,0
44,0.12,0,0,0,0,0.72,0
45,0,0.09,0,0,0,0.87,0
46,0.35,0.03,0,0,0,0.98,0
47,0.82,0.02,0,0,0,1.01,0
48,0.89,0,0,0,0,1.37,0
49,0.87,0,0,0,0,1.55,0
50,0.93,0,0,0,0.25,2,0.38
51,0.88,0,0,0,0.62,2.05,0.42
52,1.07,0,0.16,0,0.52,2.3,0.28
53,1.14,0,0.14,0,0.74,2.85,0
54,1.23,0,0,0,0.78,3.07,0
55,1.35,0,0.16,0,0.28,3.06,0
56,1.46,0,0,0,0.37,2.94,1.35
57,1.53,0,0,0,0.94,2.88,1.56
58,1.64,0,0,0,1.09,2.92,1.74
59,1.67,0.06,0,0,1.22,2.95,1.86
60,1.72,0,0,0,1.4,3.01,1.89
61,1.89,0,0,0,1.39,2.96,2.01
62,2.1,0,0,0,1.18,2.79,2.04
63,2.28,0.06,0,0,1.13,2.67,2.07
64,2.48,0,0,0,1.58,2.68,2.12
65,2.57,0,0,0,1.7,2.95,2.15
66,2.55,0.31,0,0,1.91,3.34,2.1
67,2.69,0.44,0,0,2.78,3.57,2.02
68,2.93,0,0,0,3.26,3.61,1.84
69,3.12,0,0,0.18,3.62,3.38,1.74
70,3.37,0.67,0.1,0.19,3.69,3.08,1.75
71,3.7,0.72,0,0.13,3.66,2.78,1.84
72,4.21,0.91,0,0.08,3.68,2.44,1.93
73,4.75,1.28,0,0.13,3.93,2.05,1.98
74,5.07,1.27,0,0.25,4.19,1.8,2.03
75,5.54,1.25,0,0.3,4.33,1.71,2.09
76,6.22,1.19,0,0.2,4.41,1.33,2.22
77,7.16,1.16,0,0.12,4.48,1.51,2.39
78,7.7,1.13,0,0.25,4.55,1.98,2.42
79,8.37,1.37,0,0.44,4.58,2.15,2.46
80,9.03,1.39,0,0,4.57,2.26,2.58
81,9.84,1.32,0,0,4.62,2.26,2.69
82,10.24,1.35,0,0.47,5.01,2.3,2.78
83,10.06,1.57,0.02,0.25,5.31,2.43,2.86
84,9.61,2.05,0.02,0.24,5.48,2.68,2.9
85,9.28,2.12,0.01,0.24,5.51,3.13,2.95
86,9.01,2.2,0.01,0.28,5.57,3.66,3.02
87,8.91,2.41,0.03,0.54,5.77,3.99,3.16
88,9.02,2.53,0.01,0.73,6.07,4.19,3.36
89,8.97,2.62,0.01,1.31,6.33,4.32,3.5
90,8.83,2.77,1.35,1.44,6.41,4.42,3.59
91,8.67,2.93,1.37,1.85,6.48,4.53,3.7
92,8.52,3.01,1.39,1.96,6.6,4.68,3.76
93,8.48,3.12,1.56,2.05,6.59,5.04,3.78
94,8.56,3.39,2.79,2.23,6.47,5.42,3.81
95,8.72,3.82,2.75,2.39,6.24,5.67,3.85
96,8.83,4.07,2.91,2.96,6.08,5.97,3.86
97,8.91,4.49,3.29,3.27,6.08,6.12,3.88
98,9.03,4.71,3.6,3.94,6.02,6.41,3.89
99,9.1,4.73,3.85,4.38,5.91,6.6,3.85
100,9.12,4.71,4.12,4.68,5.75,6.73,3.89
101,9.04,4.79,4.7,4.88,5.67,7.15,4.03
102,8.87,5.06,5.25,5.23,5.62,7.74,4.26
103,8.88,5.37,5.52,5.73,5.62,7.98,4.56
104,9.06,5.44,5.74,6.17,5.81,8.41,4.72
105,9.25,5.67,5.88,6.89,6.08,9.02,4.89
106,9.6,6.08,6.04,7.61,6.47,9.6,5.17
107,10.04,6.43,6.4,8.04,6.94,9.88,5.34
108,10.35,6.73,6.75,8.19,7.37,9.94,5.4
109,10.55,6.99,6.89,8.05,7.79,10.21,5.39
110,10.6,7.11,7.15,7.82,7.94,10.62,5.47
111,10.53,7.2,7.48,7.73,8.14,10.84,5.57
112,10.44,7.45,7.77,7.75,8.47,10.96,5.97
113,10.34,7.57,7.99,7.75,8.79,11.19,6.38
114,10.17,7.71,8.18,7.79,8.99,11.23,6.81
115,10.05,7.83,8.4,7.98,9.16,11.27,7.17
116,10.12,8.09,8.55,8.08,9.28,11.43,7.4
117,10.38,8.49,8.61,8.19,9.43,11.53,7.81
118,10.53,8.85,8.68,8.5,9.51,11.62,8.05
119,10.49,9.46,8.88,9.03,9.7,11.64,8.25
120,10.41,10.2,9.03,9.67,9.88,11.72,8.72
121,10.71,11.11,9.08,10.17,9.96,11.87,9.24
122,11.42,11.33,9.23,11.02,10.33,12.12,9.48
123,12.43,11.38,9.5,11.55,10.8,12.42,9.79
124,13.17,11.6,9.75,11.76,11.08,12.22,10.38
125,13.34,12.09,9.85,11.92,11.21,11.61,11.03
126,13.32,12.63,9.97,12.39,11.35,11.23,11.64
